Study_ID,Study_Year,Country,Region,Land_Use_Change,Covariates,Sampling_Design,Exclosure_Treatments,Function_Methods,Land.use.Source,Citations,DOI
iver01,2012,mexico,"soconusco region, southern chiapas",no,shade tree biomass over coffee,"To measure broca predation, 5 coffee branches infested with berry borer were placed in each site once. To sample parasitoids, 6 pan traps of 3 different colors were placed in each site once. To sample Coccus viridis, 5 coffee branches with a known quantity of scales were placed in each site once. To sample herbivore damage, 100 leaves randomly selected from 5 bushes in each site were assessed for any herbivore damage once.",NA,"Predation of pest (berry borer) was measured by first infesting uninfested coffee branches (removed from bushes) with a known quantity of berry borers in the lab. Borers were allowed to drill into the berries overnight. These branches were placed in floral tubes with water and fastened to coffee bushes in the field. After 5 days, branches were collected and assessed for the number of borers that had been removed. Predation of Coccus viridis (green coffee scale) was assessed by placing coffee branches in floral tubes with a known quantity of scales on them in the field for 4 days and afterwards determining the proportion that were predated (as evidenced by holes (chew marks) in scales). Herbivore damage was assessed by randomly selecting 100 leaves from 5 coffee bushes per site and counting the number of leaves with any herbivore damage",Author contribution,"Pak D, Iverson A, Ennis K, Gonthier D, Vandermeer J. Parasitoid wasps benefit from shade tree structure size and landscape complexity in Mexican coffee agroecosystems. 2015. Agriculture, Ecosystems & Environment 206: 21-32.",811cab1b-4c01-4003-8c4e-96299aba2235
iver02,2013,usa (puerto rico),west-central mountains (centered in utuado municipality),no,shade tree cover. Other covariates unknown (analysis in progress),"For berry borer abundance, 100 coffee berries on each of 5 bushes per site were counted and number of berries infested with borer were recorded once. For parasitoid abundance, 9 pan traps were placed in each site once. For exclosures, see ""Exclosure_Treatments"" tab.","In each site we had 3 separate plants that excluded anoles, birds, and bats, 3 separate plants that excluded birds/bats but were open to anoles, and 3 separate plants were controls ",NA,Author contribution,Unpublished,a7edff58-42bd-49a7-8973-e0b36335f666
jank01,2012,serbia,central serbia,no,anthropogenic habitat disturbance,"We measured aphid abundance once within alfalfa and wheat  fields using destructive plant counts in five sampling plots selected 10 m away from the field margins and along the transect with 10 m distance between the plots. In each crop field, twenty randomly selected plants were removed in each plot and aphids and mummies were counted. Aphid predators (Coccinellidae and Heteroptera) were collected using a sweep-net method. The sweep-netting consisted of walking through the field centre and sweeping over the top of the vegetation on both sides for a total of 80 times. The net was emptied after 20 sweeps and all 4 subsamples per field were pooled.",NA,Mortality of aphids due to parasitism was quantified as the ratio of mummified aphids to total aphid counts on plants (including mummies). ,Author contribution; CORINE (Europe),Jankovic et al. 2016 Journal of Pest Science,88500412-66ac-473b-90d3-4d2009314f05
jons01,2012,kenya,"trans-nzoia, w kenya",yes,"No. Split plot design used with push-pull management vs monoculture. Push pull very important, but only the control sites are included here",2 censuses of randomly selected plants within each plot,NA,Eggs were counted on 20 randomly selected plants at each census,Author contribution,"Midega et al. 2014. Agriculture Ecosystems and Environment, 188, 289-293. Data published are from 9 of the sites that were used in a push-pull vs monoculture",767c6833-5893-416f-b042-1678134a288c
jons02,2007,new zealand,canterbury,no,NA,Invertebrates were counted at two censuses from 25 plants along a 100m transect 8 m from the field enge. ,NA,Pests and natural enemies were counted on 25 radom whole plants. Leaves with damage of the leaf mining pest Scaptomyza flava was counted. To assess parasitism aphid mummies and pupae of Cotesia rubecola (ptoid of Pieris brassicae) were counted in the field and diamond back pupae were collected and reared.,Land Cover Database (New Zealand),"Jonsson et al 2012. Journal of Applied Ecology 49,706-714.",cfc61768-df24-41ea-bc2b-5f3b561cb386
jons03,2008,new zealand,canterbury,no,NA,"Aphids, aphid mummies and Plutella xylostella larvae and pupae were counted once, and sentinel Plutella xylostella larvae were placed out once to assess parasitism. Crop yield was estimated from two plots combined with height estimates. All measurements done within an 100m transect 8 m from the field edge. ",NA,"Parasitism of aphids was estimated by counting live aphids and mummies on 25 plants (except at two sites where 15 and 21 plants were counted respectively), parasitism od Plutella xylostella was assessed by placing out 4-5 2nd-3rd instar larvae on each of 20 potted plants and recovered after 48 hours, and crop yield was measured in two 1m2 squares and then extrapolated using crop height.",Land Cover Database (New Zealand),"Jonsson et al. 2015. Journal of Applied Ecology, in press: http://onlinelibrary.wiley.com/doi/10.1111/1365-2664.12489/abstract",7af9778b-7cfc-4a4b-9265-72cda60fa17d
jons04,2012,kenya,"trans-nzoia, w kenya",yes,"Half of the plantations are shaded, half sunexposed","5 censuses, once a week in April-May of 15 randomly selected plants from which 8 leaves were searched for aphids; 2 leaves from a top branch 2+2 leaves from 2 middle branches and 2 leaves from a basal branch",NA,NA,Author contribution,"Master thesis by Nina Backlund, and bachelor thesis by Louise Malmberg, Lund University, Sweden",7eb08281-9b64-4625-9210-e9a2b3a53f5a
karp01,2014,united states,california central coast,no,No,"In each site, a plot was visited twice, at seedling and adult stage. At both times, 3 pitfall traps, 2 pan traps, and 3 lettuce plants were sampled. In addition, 3 egg cards were deployed. Finally, one control/exclosure pair were placed in each plot. ","in each site, 1  control with 1 plant open to insect predators and 1 exclosure with 1 plant closed to insect predators","In addition to exclosures (previously described), egg cards were deployed and lettuce plants were weighed. Between 25-60 eggs were placed on a card and left in the field for 1 day. 3 cards were deployed at each plot, at the seedling stage and at harvest, in the spring and in the summer. At harvest, all lettuce plants in a 1m by 1m plot were harvested and each plant was individually weighed. The average lettuce weight per plot was calculated. ",Author contribution; Cropland Data Layer (United States),Karp et al. (2013) Ecology Letters 16: 1339-1347.,c73b5082-5c11-4b91-892b-a8f0f8406473
karp02,2007-2011,costa rica,coto brus,no,No,"In each site, one exclosure pair encompassing 4 plants: one open to birds and bats, the other closed to birds and bats. After 3 months, plants were surveyed for the proportion of berries infested with the coffee berry borer. Also, at a separate set of  sites, 20 mist nets were operated 6 times per year for 5 hours per sampling round. All unique bird captures were recorded. Only borer predators (identified through molecular fecal analysis) are reported here. Also, at each site, 4 plants were surveyed for borer damage (proportion attacked out of 100) at 3 subsites. ","in each site, 1 control with 4 plants open to bird and bat predators and 1 exclosure with 4 plants closed to bird and bat predators",100 berries were surveyed per plant for coffee berry borer damage and the proportion attacked was recorded,Author contribution,Karp et al. (2017) Journal of Applied Ecology 53:1402-1412.,84965a37-18b2-4660-9e70-f522ec0a3a20
keas01,2014,israel,"hefer valley, carmel, judaean foothills",yes,"Possible factors affecting the assemblage of parasitoid wasps are season,host plant and potential arthropod hosts.","Each pomegranate orchard was sampled once a month from May to October. Twenty samples were taken at each orchard at every sampling date.  We took 14 samples of the herbaceous plants growing at the ends of the pomegranate tree rows. Each plant was suction sampled individually for 15 seconds using a Vortis Insect Suction Sampler (Burkard Manufacturing Co. Ltd, Rickmansworth, UK). Six more samples were taken between the tree rows at the middle of the orchards. These samples were suction samples of 15 seconds of three meters of herbaceous plants. Samples were preserved in 70% ethanol until classification. 100- 400 Pomegranate fruits were monitored in each orchard for damage by D. livia. This was done once a month in August, September and October. The populations of two additional moth pests (Thaumatotibia leucotreta and Cryptoblabes gnidiella ) were monitored using pheromone traps during July-October. Traps were checked once a month in all orchards.",No exclosures were involved.,Damage to yield by D. livia was evaluated by monitoring fruit. Populations of two additional pests were estimated through trapping in pheromone traps.,Author contribution; Global Land Cover,"Kishinevsky M, Keasar T, Harari A, Chiel E, 2017. A comparison of naturally growing vegetation vs. border-planted companion plants for sustaining parasitoids in pomegranate orchards. Agriculture, Ecosystems and Environment 246: 117-123.",6d86cfdc-a7bb-474d-a1a8-307cbc3f9da1
kim01,2011-2012,united states,upper midwest,NA,no,"At each soybean field, the abundance of all predatory arthropods and parasitoids (NEs) were estimated using yellow sticky cards and pitfall traps placed at 3 sampling stations within each site and replaced at 2-week intervals during the soybean growing season (July to September). In 2011, sticky cards and pitfalls were placed out for continuously for 3 months (6 sampling periods). In 2012, sticky cards and pitfall traps were placed out for 2 sampling periods in July (""early"") and September (""late"").  Arthropods were identified in the lab to the family level and classified as either predators, parasitoids, or herbivores. Pitfall data not presented in Liere et al. paper.","To examine the effects of NE on soybean aphid (SBA) and soybean yield, we set out experimental cages in August to exclude NE from soybean plants (‚Äúclosed cages‚Äù treatments).  These plants were paired with uncovered (2011) or partially-covered (2012) plants (‚Äúopen cages‚Äù treatments) with netting (in 2011 tomato cages used; in 2012, PVC cages (1.3 m x 0.6 m x 1.3 m) used). In 2011, there were 3 pairs of cages (each cage had one plant). In 2012, each cage contained 10 plants. ","Prior to setting out cages, all detectable NE were removed manually from experimental plants. In 2011, ambient densities of SBA were used as starting densities (range = 49.16 - 69.21 SBA). In 2012, to minimize variation in the starting densities of SBA, all aphids were removed from the experimental soybean plants and inoculated each plant with 20 SBA from colonies. In both years, SBA surveys were conducted twice in September (""late.1"" and ""late.2"") by counting all SBA on each experimental plant. After the last count, we left all aphids on the plants and removed cages at end of the growing season (late September), when soybean seeds dried naturally.  We then harvested the pods from the experimental plants, recorded the seed mass per plant (grams) and measured humidity content.  We then standardized the mass of our samples by correcting for percent humidity using 13% as the standard (13-15% is the recommended humidity content for harvesting soybeans). Predation rates were also measured by offering sentinel prey (frozen corn earworm eggs Helicoverpa zea) to predators on cardstock.  After 48 hours, the number of eggs remaining eggs were counted and the % predation rates calculated as (start number -end number )/ (start number) * 100.  Predation rates were measured 3 times in 2011 (""early"", ""mid"", ""late"", corresponding to July, August, and September), and only once in Sept 2012 (""late"").  Predation rates were not included in the Liere et al. paper.",Cropland Data Layer (United States),"Liere, H., T. N. Kim, B. P. Werling, T. D. Meehan, D. A. Landis, and C. Gratton. 2015. Trophic cascades in agricultural landscapes: indirect effects of landscape composition on crop yield. Ecological Applications 25:652–661.",eb78a20b-8582-470f-9f13-d027319f901f
kim02,2012,united states,upper midwest,NA,No,"At each wheat field, the abundance of all predatory arthropods and parasitoids (NEs) were estimated using yellow sticky cards and pitfall traps placed at 3 sampling stations within each site and replaced at 2-week intervals during the wheat growing season (late May-end June).  Sticky cards and pitfalls were placed out for continuously for 1 month (2 sampling periods, early June and late June).  We also measured NEs on vegetation by sweeping two 50-m transects in mid-June. Specimens from both transects were combined into one sample.  Arthropods were identified in the lab to the family level and classified as either predators, parasitoids, or herbivores. ","To examine the effects of NE on bird cherry oat aphid (BCOA) and wheat yield, we set out experimental cages in late May/early June to exclude NE from wheat plants (‚Äúclosed cages‚Äù treatments).  These cages were paired with partially-covered  plants (‚Äúopen cages‚Äù treatments) with netting (10 cages per site in total).  ","Prior to setting out cages, all natural enemies were manually and mechanically removed from the full exclusion cages. Within each cage we marked 5 plants and the centermost one was infested with 20 apterous bird-cherry-oat aphids (we re-infested the cages if all aphids were gone after a week of first infestation). The aphid populations of the five marked plants were later counted on two dates (early June and late June). After the last count, we left all aphids on the plants and removed cages at end of the growing season (late June).  We estimated yield by randomly selecting 5  tillers with fruit, and counted the number of kernels and total kernel mass (grams).  Predation rates were also measured by offering sentinel prey (frozen corn earworm eggs Helicoverpa zea) to predators on cardstock.  After 48 hours, the number of eggs remaining eggs were counted and the % predation rates calculated as (start number -end number )/ (start number) * 100.  Predation rates were measured once in mid-June at five stations per site.  ",Cropland Data Layer (United States),Unpublished,ec4e6d53-459d-4216-96c4-f4eb104878a7
krak01,2014,vietnam,hanoi,NA,"rice variety, planting date, fertilizer","In each site 1 focal rice field was selected of which half was managed according to normal farmer's management practices (including fungicides and insecticides) and half was managed without fungicides and insecticides. Measurements were conducted in both plots. Arthropod abundance data were collected on 4 sampling occasions per field,and at each sampling occasion 6 samples were taken per plot. Here we only report data on unsprayed plots, which consist of 1 field x 4 occasions x 6 samples = 24 samples per site. Here, seasonal totals (of 24 samples) are presented per field. For yield,  5 quadrats (1 m2 each) per plot were sampled to assess rice yield.  Here we only report data on unsprayed plots, which consisted of 5 samples per site.",not applicable,"Arthropod sampling: samples were taken using blower-vac,  beat sheets and visual observations of pests and natural enemies on the water, sampling unit was 4 rice hills.  Yield: rice samples were collected at 5 points on the diagonal of the plot, each point area is 1m2. Grain weight was standardized to 14% moisture and converted to ton/ha. Sample collection: 5 days before harvesting.",Author contribution; Global Land Cover,Unpublished,dac92ee7-2a67-479a-b2e5-10ae4da24de3
lava01,2013-2014,chile,maule,no,none,"2 gruops of 10 independent fields, 6 sampling dates with 3 sampling points per field",none,Abundace of aphids was estimated as the number of aphids per 60 stalks per field per sampling date. Abundace of coccinelids was estimated as threee 20 net-sweeps per field pero sampling date. Carabid abundances were estimated as 72 hr pitfall trap in three sampling points per field per sampling date.,Author contribution; Global Land Cover,Raymond et al. (2015) Temporal variability of aphid biological control in contrasting landscape contexts. Biological Control 90: 148-156. ,3c323e0c-3712-4c98-8819-07146eeb9c5a
lava02,2013-2014,chile,maule,no,none,"3 gruops of 10 independent fields, 6 sampling dates with 3 sampling points per field",none,parasitism rates were estimated with molecular detection on 10 live aphids per field per sampling date.,Author contribution; Global Land Cover,Ortiz-Martínez S. and B. Lavandero (2018) The effect of landscape context on the biological control of Sitobion avenae: temporal partitioning response of natural enemy guilds. Journal of Pest Science 91: 41-53. ,f9f94daf-b12f-4524-8eaa-fad185a18dfa
lavi01,2006-2010,france,provence-alpes-c√¥te d'azur,no,percent of conventional orchards in landscape + local pesticide treatments,"we set from 30 to 108 (depending on purpose of study and orchard area) traps made of corrugated cardboard around trunks  distributed over 3 rows in each orchard, placed in july, collected in october. Some traps were destroyed before being collected and some orchards have few traps some years. ; parasitism was analysed on the adults that emerged from study lavi01 considering only orchards where more than 20 adults emerged ; The stuy was carried out in 10  apple orchards. In each orchard, we set 30 paper bands with approximately 15 fresh codling moth (Cydia pomonella) eggs . Paper bands were pinned on the lower side of one leaf of 30 apple trees distributed over three rows and left for three days.  the experiment was reapeated twice : on June 6th and August 8th 2008.",NA,"band traps were brought back to the lab and the number of larvae was counted for each orchard ; diapausing larvae were brought back in an outdoor shelter and parasitism was assessed by the ratio of emergence of adult parasitoids/ emerged codling moth  ; Eggs were counted before and after their exposure in the orchard and  the paper band was noted as ""predated"" if some of the eggs had been removed or emptied. The reported predation rate is the proportion of egg masses (=paper bands) noted as ""predated"".",CORINE (Europe),"(1) Ricci B., Franck P., Toubon J.-F., Bouvier J.-C., Sauphanor B., Lavigne C. (2009)The influence of landscape on insect pest dynamics: a case study in southeastern France. Landscape Ecology. 24:337-349.; (2) Maalouly M, Franck P, Bouvier J-C, Toubon J-F, Lavigne C (2013) Codling moth parasitism is affected by semi-natural habitats and agricultural practices at orchard and landscape levels.Agriculture, Ecosystems & Environment 169: 33-42; (3) Monteiro, L. B., Lavigne, C., Ricci, B., Franck, P., Toubon, J.-F. and Sauphanor, B. (2013). Predation of codling moth eggs is affected by pest management practices at orchard and landscape levels. Agriculture, Ecosystems & Environment 166, 86-93.",7f9e7262-e34f-4420-a38e-3bd7ed475c75
lemessa01,2011,ethiopia,gera oromia,no,No,"In each 40 gardens 6 pitfall traps were installed and the traps were emptied every 4-7 days three times each during   two months (May to June, August to September) in 2011",No exclosure,"Data was collected three times from each homegarden during each collection periods (May to June, and August to Sptember). All specimens were transferred to vial tubes with 70 % alcohol for later identification. ",Global Land Cover,Lemessa et al. (2015) Landscape Ecology 30: 167-180.,026ca7d9-a2c5-4d84-989e-1274e031a2ed
lemessa02,2012,ethiopia,gera oromia,no,No,"In each 26 gardens we sowed rapeseed on plots of 5 m x 2m in the period 27 June to 5 July 2012, and when plants developed leaves we built bird exclosure on sub plot (2.5 x 1 m) during the period 3‚Äì14 August 2012  and the rest subplot was retained for control. Simeltanousely, in each sub plot we excluded three groups of plants (five individuals each) from ground dwelling arthropod predators using bottom cut plastic buckets. The leaf  damge per plant was estimated for each respective treatment was estimated about once a week (7‚Äì9 days) from 23 August until 28 September 2012.  ","Bird exclosure and ground dwelling predatory arthropods exclosure.  We built bird exclosure on sub plot (2.5 x 1 m) during the period 3‚Äì14 August 2012  and the rest subplot was retained for control. Simeltanousely, in each sub plot we excluded three groups of plants (five individuals each) from ground dwelling arthropod predators using bottom cut plastic buckets. The leaf  damge per plant was estimated for each respective treatment was estimated about once a week (7‚Äì9 days) from 23 August until 28 September 2012.   ", The leaf  damge per indivudual plant was estimated for each respective treatment was estimated about once a week (7‚Äì9 days) from 23 August until 28 September 2012.   ,NA,NA,7c05cc43-d4b1-4caf-8cb9-708f39357a67
lera01,2010,france,britanny,yes,None,"In each site, fifteen successive broccoli plants from the same row of the initial crop were removed and replaced mid-April 2010 by 15 focal ones planted in the ground (cvs Marathon). These plants aged of 10 weeks had received no chemical treatment and were insect-free. The first focal plant was placed 12 rows from the field entrance edge and was the 12th on this row. ",NA," Ten out of the 15 focal plants were fitted with felt traps to monitor egg-laying by D. radicum. Felt traps consist of felt bands strapping the base of the stem, thus forming grooves where flies readily lay their eggs. Eggs were monitored and removed every week. The five remaining plants were left trap-free to assess natural infestation levels by D. radicum and pupal parasitism levels by its main natural enemies (two species of staphylinids‚ÄîA. bilineata and A. bipustulata‚Äî and a parasitic wasp, T. rapae). At harvest time (mid-June 2010), the five trap-free plants from each of the 68 fields were pulled out manually and the surrounding soil (20 cm diameter and 15‚Äì 20 cm depth) was sifted to count D. radicum pupae. Pupae were reared until insect emergence. Parasitism rates were then estimated from the number of parasitoids emerged for each species. Two species of carabids -M. lampros and M. properans- and the two species of staphylinids (both predators and parasitoids), consuming D. radicum eggs and larvae were monitored using two pitfall traps per field which were put in place in all the fields at the same time, i.e. the week following a sharp increase in the number of D. radicum eggs recorded per plant. Pitfalls were checked weekly during three consecutive weeks. Crop damage was estimated by observing the roots and weighting the head of the five trap-free broccoli of each field.",Author contribution; CORINE (Europe),"Josso, C., Le Ralec, A., Raymond, L., Saulais, J., Baudry, J., Poinsot, D., & Cortesero, A. M. (2013). Effects of field and landscape variables on crop colonization and biological control of the cabbage root fly Delia radicum. Landscape ecology, 28(9), 1697-1715.",0365271c-e2af-45bc-80ee-a9c2392efc1d
leto01,2004-2007,united states,"monterey bay area, ca counties santa cruz, monterey, san benito",NA,"sometimes crop diversity index, almost never tillage frequency or pesticide disruption.","Generally, we erected a Malaise trap in the center of a cole crops field, and took one 48 hr sample in May, July and September of 2005, 2006, and 2007. Sometimes collections were lost (e.g., a trap would be blown over) or sites discontinued (e.g., farmer Jeff Young died).","July 2005: Ten later instar sentinel caterpillars (Trichoplusia ni, cabbage loopers) were placed on each of 8 potted collards plants placed throughout the middle of the field, setting the 1-gal pots into larger saucers to make water moats to capture fleeing individuals. July 2007: Ten plants with >15 first instart T. ni were placed in each of 28 fields, and left for 7 days of exposure. Twelve 2nd to 4th instar larvae were retrieved from each plant and reared on diet to determine percentage parasitism (# retrieved caterpillars that were parasitized / number collected from plant). Missing values for plants sprayed with Bt or with high larval predation, such that 120 individuals could not be collected and reared.",Deborah K. Letourneau and Sara G. Bothwell Allen,Author contribution; Cropland Data Layer (United States),"Letourneau, D.K., S.G. Bothwell Allen, R.R. Kula, M.J. Sharkey, and J.O. Stireman, III. 2015. Habitat Eradication and Cropland Intensification May Reduce Parasitoid Diversity and Natural Pest Control Services in Annual Crop Fields. Elementa: Science of the Anthropocene Sustainable Transitions Domain. DOI 10.12952/journal.elementa.000069",56d8a3ae-e54b-4f2f-a1d1-ad8f5aa9a708
lubi01,2006-2007,israel,north-western negev ,NA,1) The study sites are on an east-west and north-south rainfall gradient from c.160 mm to 300 mm annually. 2) The percentage land-use cover of semi-desert in a radius of 1 km around the sampling sites varies from 0% to about 50%. 3) The amount and frequency of irrigation varied along the rainfall gradient. None of the fields were sprayed with insecticide.,"Sampling was done in wheat fields on three dates over the season: mid-December at the start of the wheat season (planted at the beginning of November), late January and late February, before harvesting for fodder.  Sampling was with pitfall traps: 20 traps per field, plastic cups 10 cm deep, 9 cm diameter at the rim, 150 ml diluted ethylene glycol (50% dilution). Traps were collected after 1 week and spiders were preserved in 70% alcohol. Samples from the 20 traps per field were combined, and the 3 dates were combined for this report. Thus, abundance is numbers per 20 traps per site over the crop season.",No exclosures were involved.,NA,Author contribution; Global Land Cover,"1) Pluess, T., Opatovsky, I. Gavish-Regev, E., Lubin, Y. and Schmidt, M. H. 2008. Species richness and densities of spiders in wheat-fields and semi-desert in the Negev (Israel). Journal of Arachnology, 36: 368-373. 2) Pluess, T., Opatovsky, I., Gavish-Regev, E., Lubin, Y. & Schmidt-Entling, M.H. 2010. Non-crop habitats enhance spider diversity in wheat fields of a desert agroecosystem. Agriculture, Ecosystems and Environment, 137: 68-74",0ee79825-388a-4f07-b0c9-0c4f0dea98bd
luyh01,2012-2014,china,tianjin city and hebei province,NA,No,"In each site, the trials were done at flare opening and tasseling stages. At each time,a total of 10 maize plants were randomly selected, and one piece of egg gauze (i.e., a piece of gauze with 50-100 Helicoverpa armigera eggs) was attached on the top of leaf ""V8"" using an insect pin. Each selected plant was a minimum of 10 m from any field edge, and a distance of at least 10 m existed between plants. A total of 10 pieces egg gauze were deployed in each plot per trial. Each egg gauze was carefully collected from the field after 48 h of exposure and maintained within a 10 ml glass tube. A new egg gauze was deployed onto the same 10 plants for two consecutive 48 h field trials. Then counted the number of parasitized eggs present per egg gauze, at last, the average of parasitism ratio of three trial times were calculated using in data analysis.",NA,"The parasitism ratio were calculated from the average of total 30 egg gauzes in every three trial times for each site,each egg gauzes contain 50-100 CBW eggs.",Author contribution; Global Land Cover,Unknown,207b2172-cbf4-4dd4-a117-15286cab5cb1
maas01,2010-2011,indonesia,centralsulawesi_napuvalley,NA,local shade tree availability (shade cover in percent for study sites and single treatments); age of study site/cacao plantation; number of crop systems adjacent to each study site; local precipitation patterns; mean size of cacao trees in each site/plantation,"On each study site (= smallholder cacao plantations smaller than 5 ha), there were 16 study trees (= cacao trees in 8 different exclosure treatments). In total we had 120 cacao study trees and investigated data on arthropods (visual observations once per month; in total 10 month of which 7 months were included in our analyses; Total of 47406 arthropods observed and 32537 included in analyses); we collected data on cacao fruit development (counting number of flowers, small/medium/large fruit; recording cacao crop diseases; including final harvest and measuring final cacao crop yield ‚Äì total of 28 survey rounds). Bird and Bat exclosures had significant effects on arthropod abundances and on final cacao yield but not on cacao disease incidence or leaf herbivory. Finally, we have plantation data from each study site, resulting from 2 detailed measurements from June 2010 and February 2011 (e.g. plantation size; size of all cacao trees; density/availability of local shade) and questionnaires (e.g. plantation age; plantation history) as well as landscape data from the study area (repeated measurement of forest margin area; coordinates of key structures in the landscape such as rivers; other plantations; roads). ","in each site 4 treatments: 1 bat exclosure, 1 bird exclosure, 1 full exclosure (birds+bats excluded) and 1 open control treatment ","Arthropods were observed on all 120 study trees for 10 months (= 10 survey rounds) of which 7 months could be used for data analyses (to have pairs of day and night-observation) ‚Äì in total we have data from 16 insect orders belonging to 65 families. The arthropod observations also include behavior observations such as flower predation (often observed by Coleoptera and Lepidoptera larvae); Also development of cacao fruits, the presence of cacao crop diseases and final harvesting and measuring of yield was performed on all 120 trees during 28 survey rounds (repeated counting of flowers and small/medium/large fruits until harvest; we dried the cacao harvest and measured the final weight of cacao harvest for both high-quality and low-quality seeds); We investigated leaf herbivory on all 120 trees in 30 survey rounds (using sets of 10 marked leaves on each tree; these leaves were observed 3 times after marking to measure leaf growth and herbivory, which was estimated in percent by trained assistants and random control using ImageJ analyses); ",Global Land Cover,"Maas, B., Clough, Y. and Tscharntke, T. (2013): Bats and birds increase crop yield in tropical agroforestry landscapes. Ecology Letters 16: 1480-1487",1bab5ee7-911e-4e89-bcb4-3da64a36eea1
maas02,2010-2011,indonesia,centralsulawesi_napuvalley,NA,local shade tree availability (shade cover in percent for study sites and single treatments); age of study site/cacao plantation; number of crop systems adjacent to each study site; local precipitation patterns; mean size of cacao trees in each site/plantation,"We recorded birds using point counts and mist netting (total of 7 survey rounds per site) ‚Äì in total, we observed 69 bird species belonging to 36 families. In addition to bird surveys, we conducted a predation experiment with dummy caterpillars (plasticine caterpillars) with a total of 4 survey rounds on a subset of 10 study sites.",no exclosures,"We recorded birds using point counts (radius of 50 m; duration of 20 minutes) and mist netting (48m lines of mist nets per site and survey) on all study sites in 7 survey rounds (one round per month). We performed predation experiments using plasticine caterpillars (length of 2 cm; green color; according to methods from Howe et al 2009) that were exposed on cacao tree stems, branches and leaves for 24 hours per survey round to account for both day-, and night-time predation. We completed 4 survey rounds and finally distinguished between predation marks of birds, mammals and snails. ",Global Land Cover,"Maas, B., Tscharntke, T., Saleh, S., Dwi Putra, D., & Clough, Y. (2015). Avian species identity drives predation success in tropical cacao agroforestry. Journal of Applied Ecology, 52(3), 735-743",c194ca01-8518-4f81-9b8c-80cfe437c12b
maas03,2010-2011,indonesia,centralsulawesi_napuvalley,NA,local shade tree availability (shade cover in percent for study sites and single treatments); age of study site/cacao plantation; number of crop systems adjacent to each study site; local precipitation patterns; mean size of cacao trees in each site/plantation,Data on leaf herbivory (using sets of 10 marked leaves on each cacao tree; leaves sizes were measured and leaf loss due to herbivory was estimated - we investigated 36000 leaves in 30 rounds). ,"in each site 4 treatments: 1 bat exclosure, 1 bird exclosure, 1 full exclosure (birds+bats excluded) and 1 open control treatment ","On each cacao study tree (total of 120 trees in 60 exclosure treatments on 15 sites) we marked 10 young cacao leaves to measure herbivory by leaf chewing insects over time. We controlled all leaf sets every 10 days (measuring leaf length and leaf width and estimating leaf damage by herbivores). Leaf damage was estimated by well-trained assistants who regularly had trainings using ImageJ software (max. difference from ImageJ estimates were 2.5% leaf damage).  In addition, we recorded the colour and structure of all leaves, as well as exposition and height. In total, we measured 36000 leaves over 30 surveys.",Global Land Cover,Unpublished,9160f443-8694-41f0-8886-6458b3fae6da
mace01,2014,united states,san francisco peninsula,no,NA,"Each site was sampled twice. Data was pooled to give one number as each site.  Aphids and all natural enemies were counted on 3 focal plant species (green beans, kale, and tomatoes). Ten leaves on each of three plants of each species were sampled in every site at each time. ",NA,Aphids and all natural enemies were counted on 10 leaves from three plants twice in every site. Data were pooled to give an average aphid and natural enemy number per plant in each site,Cropland Data Layer (United States),Unpublished,85c8e7a6-8041-4848-b2c0-285be3c60444
mace02,2013,united states,sacramento valley,no,NA,Sentinel aphids were placed in each site twice for 24 hrs each time. Aphids secured by sticking their back legs to a sticky label and then gluing the label to the underside of a walnut leaf. Aphids were able to continue feeding. Four labels on one tree each were placed in each site and site time. ,NA,We quantified predation as the proportion of aphids consumed,Cropland Data Layer (United States),"Mace, K. C., & Mills, N. J. (2017). Connecting natural enemy metrics to biological control activity for aphids in California walnuts. Biological control, 106, 16-26.",76cec24d-fac2-4a52-a663-6738fbe896b1
mace03,2013,united states,sacramento valley,no,NA,"Orchards were divided into for equivalent blocks. All walnut aphids, predators, parasitoids, and mummies were counted on ten leaves on five trees per block, for a total of 50 leaves per block and 200 leaves per orchard. This was done twice in June and twice in September",NA,"All predators, parasitoids, and mummies were counted. ",Cropland Data Layer (United States),"Mace, K. C., & Mills, N. J. (2017). Connecting natural enemy metrics to biological control activity for aphids in California walnuts. Biological control, 106, 16-26.",4d52372b-196f-41fa-bd34-3111807b967c
mart01,2013,costa rica,turrialba,no,"Bird functional diversity, canopy cover","On each site two coffee shrubs were selected, one of them was covered by a mesh to prevent bird activity and the other was left uncovered. Once a month, during ten months, five randomly selected branches (on each coffee plant) were examined and total number of coffee berries and bored berries was counted. Canopy cover measurements and bird censuses were also conducted monthly on each one of the plots (n=10)","Excluded and not excluded, 10 replicates",Five randomly selected branches per coffee shrub counted once a month during 2013,Author contribution,"Martínez-Salinas, A., DeClerck, F., Vierling, K., Vierling, L., Legal, L., Vílchez-Mendoza, S., Avelino, J., 2016. Bird functional diversity supports pest control services in a Costa Rican coffee farm. Agriculture, Ecosystems and Environment 235, 277-288.",245dc78b-9442-42ba-9820-0d5bf511d41f
